,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Garajes,Tipo de suelo,Conserje,Pista de fútbol,Gimnasio,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Cal. energética,Ascensor,Campo de golf,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Pista de pádel,Trastero,Orientación,Pista de squash,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Emisiones,Precio,Cocina equipada,Estado
122,Si,149,5,Si,,Central,,madrid,Si,,,,Central,,Gres,,,,,1979,,4,,,20,,,Si,,"220,00 €",113,Si,Si,,Si,Noreste,,,Entre 35 y 50 Años,,,,4,2,,,309000,Si,Perfecto Estado
123,Si,90,5,Si,,Gas natural,157 KW h/m² año,madrid,Si,,,,Gas Natural,1,Tarima normal,,,,,1999,,3,Ladrillo,,22,,,Si,,"52,00 €",79,Si,Si,,,Este,,,Entre 20 y 25 Años,,,,3,2,,33 Kg CO2/m² año,309900,Si,Perfecto Estado
124,Si,66,,Si,,Individual,255 KW h/m² año,madrid,Si,,,,Individual,,Otros,Si,,,,1956,,,Ladrillo,,,,,Si,,,57,,,,,Este,,,Más de 50 años,,,,2,1,,52 Kg CO2/m² año,314000,,A reformar
125,,,,Si,,Individual,,madrid,,,,,Eléctrica,,Tarima Flotante,,,,,1940,,,Mono Capa,,,,,Si,,,,Si,Si,,,,,,Más de 50 años,,,,,,,,315000,,Perfecto Estado
126,Si,106,,Si,,,,madrid,Si,1,,,Central,,Parquet,Si,,,,,,,,,,,,Si,,"137,00 €",98,,,,,,,,Más de 50 años,,,,4,2,,,320000,,
127,,138,,Si,,Gas natural,203 KW h/m² año,madrid,,2,Si,,Gas Natural,1,Parquet,,,,,2002,,4,Ladrillo,,,,,Si,,"145,00 €",101,,Si,,Si,Sureste,,,Entre 20 y 25 Años,,Si,,3,2,,42 Kg CO2/m² año,323000,,Perfecto Estado
128,,186,,Si,,Gas natural,,madrid,Si,,Si,,Gas Natural,2,Parquet,,,,Si,2000,Si,6,Ladrillo,,,,,,,"65,00 €",149,,Si,Si,,,,,Entre 20 y 25 Años,,,,4,3,,,325000,,Perfecto Estado
129,,118,,,,Gas natural,,madrid,Si,,Si,Si,Gas Natural,,Tarima Flotante,Si,,,,1998,Si,,Ladrillo,,,,,Si,,,89,Si,Si,Si,Si,Noreste,,,Mas de 25 Años,,Si,,3,2,,,329000,,Perfecto Estado
130,,69,,Si,,,,madrid,,,,,Gas Natural,,Tarima Flotante,,,,,1905,,2,Mono Capa,,,,,Si,,"45,00 €",53,,Si,,,,,,Más de 50 años,,,,2,1,,,330000,,Perfecto Estado
131,,86,6,Si,,Central,,madrid,,1,Si,,Central,1,Tarima Flotante,Si,,,,2018,Si,3,Ladrillo,,3,,,Si,,"140,00 €",69,Si,Si,,Si,Oeste,,,Entre 5 y 10 Años,,,18,2,2,,,330000,Si,Obra nueva
132,,96,,Si,,Individual,,madrid,Si,,,,Eléctrica,1,Terrazo,,,,,,,,,,,,,Si,,"118,00 €",77,,,,Si,,,,Entre 35 y 50 Años,,,,3,2,,,334900,,Perfecto Estado
133,,64,4,Si,,Individual,174 KW h/m² año,madrid,,,,,Eléctrica,,Parquet,,,,,1900,Si,,Mono Capa,,,,,Si,,"80,00 €",50,,Si,,,,,,Más de 50 años,,,,2,1,,35 Kg CO2/m² año,339000,,Perfecto Estado
134,Si,112,,Si,,Individual,,madrid,Si,1,,,Gas Natural,1,Tarima normal,,,,,,Si,3,,,,,,Si,,,89,Si,Si,,Si,Sur,,,,,,,3,2,,,339900,,Perfecto Estado
135,,152,,Si,,,,madrid,,1,,,Central,,Tarima Flotante,Si,,,,,,,,,,,,Si,,"157,00 €",140,,,,,Sur,,,Más de 50 años,,,,4,2,,,340000,,
136,,98,4,Si,,Individual,223 KW h/m² año,madrid,Si,,,,Gas Natural,,Parquet,,,,,1994,,4,Ladrillo,,,,,Si,,"59,00 €",78,Si,,,,Este,,,Entre 25 y 35 años,,,,3,2,,47 Kg CO2/m² año,349900,Si,Perfecto Estado
137,,103,2,,,Gas natural,,madrid,Si,1,,,Gas Natural,,Gres,,,,,1989,,4,Cemento,,2,,,Si,,,96,,,,,,,,Entre 25 y 35 años,,,,4,2,,,350000,Si,Perfecto Estado
138,Si,78,10,Si,,Central,,madrid,Si,1,,,Central,,Tarima Flotante,Si,,,,1964,Si,3,Mono Capa,,4,,,Si,,"185,00 €",71,,Si,,,Sur,,,Más de 50 años,,,,3,2,,,350000,,Perfecto Estado
139,,276,4,,,Individual,,madrid,Si,3,Si,,Eléctrica,2,Marmol,,,,Si,1989,Si,5,Cemento,Si,,,,,,"105,00 €",234,Si,Si,,Si,,,,,,,,4,2,,,359000,,A reformar
140,Si,62,7,Si,,Gas natural,,madrid,Si,,,,Gas Natural,,Gres,,,,,1955,,,,,28,,,Si,,"70,00 €",,,,,,,,,Más de 50 años,,,,3,1,,,359000,,
141,,118,,Si,,Individual,,madrid,Si,,,,Gas Natural,,Tarima Flotante,,,,,1989,,,Ladrillo,,,,,Si,,"70,00 €",100,,Si,,,Oeste,,,Mas de 25 Años,,,,4,2,,,359900,,Perfecto Estado
142,Si,95,,,,Gas natural,,madrid,Si,,Si,Si,Gas Natural,2,Parquet,Si,,,,2001,Si,,,,,,,Si,,,89,Si,Si,Si,Si,,,,Entre 20 y 25 Años,,Si,,3,2,,,360000,,Perfecto Estado
143,,113,,Si,,Gas natural,,madrid,Si,1,Si,,Gas Natural,,Tarima Flotante,,,,,,,3,,,,,,Si,,"70,00 €",90,,Si,,Si,Sur,,,Entre 35 y 50 Años,,,,4,2,,,364900,,Perfecto Estado
144,Si,71,7,Si,,Gas natural,,madrid,Si,,,,Gas Natural,,Terrazo,,,,,1930,,,Cemento,,43,,,Si,,,,,Si,,,Este,,,Más de 50 años,,,,3,1,,,365000,,Perfecto Estado
145,Si,60,,,,Gas natural,,madrid,Si,1,,,Gas Natural,,Tarima Flotante,Si,,,,1975,,,,,,,,Si,,,,,Si,,,Noreste,,,Entre 35 y 50 Años,,,,2,1,,,365000,Si,A reformar
146,,240,,Si,,Gas natural,,madrid,Si,3,,,Gas Natural,,Gres,,,,Si,1996,,,Ladrillo,,,,,,,,120,Si,,,,Norte,,,Entre 25 y 35 años,,,,5,2,,,369900,Si,Perfecto Estado
147,,590,2,,Si,Individual,,madrid,Si,2,Si,,Individual,5,Gres,,,,,1970,,6,,Si,,,,,,,,,Si,,Si,,,,Entre 35 y 50 Años,,,,6,3,,,369900,,
148,,131,,Si,,Individual,215 KW h/m² año,madrid,Si,3,,,Individual,2,Parquet,,,,,,Si,,,,,,,Si,,"70,00 €",104,Si,Si,,,,,,,,Si,,3,2,,43 Kg CO2/m² año,370000,Si,Perfecto Estado
149,,113,,Si,,Individual,,madrid,Si,,,,Gas Natural,1,Parquet,,,,,,,4,,,,,,Si,,"110,00 €",91,Si,,,,Sur,,,,,,,3,2,,,370000,,Perfecto Estado
150,,251,,Si,,Gas natural,,madrid,,1,,,Gas Natural,3,Tarima Flotante,,,,Si,2010,,4,Ladrillo,,,,,,,"105,00 €",182,,Si,,Si,Este,,,Entre 20 y 25 Años,,,,4,3,,,375000,,Perfecto Estado
151,,100,3,Si,,Individual,,madrid,Si,1,,,Eléctrica,,Parquet,,,,,2003,,6,Ladrillo,,3,,,Si,,"125,00 €",90,Si,Si,,Si,Norte,,,Entre 20 y 25 Años,,,,3,2,,,375000,Si,Perfecto Estado
152,Si,81,,Si,,,236 KW h/m² año,madrid,,,,,Gas Natural,,Parquet,Si,,,,1959,,,Ladrillo,,40,,,Si,,"82,00 €",,,,,,,,,Más de 50 años,,,,3,1,,49 Kg CO2/m² año,384900,,
153,,37,,Si,,Individual,,madrid,Si,1,,,Eléctrica,,Tarima normal,,,,,1900,,,Mono Capa,,,,,Si,,"40,00 €",29,,Si,,,Noreste,,,Más de 50 años,,,,1,1,,,389000,Si,Perfecto Estado
154,,122,,Si,,Gas natural,167 KW h/m² año,madrid,,1,Si,,Gas Natural,1,Parquet,Si,,,,2005,,,,,,,,Si,,"95,00 €",98,Si,Si,Si,Si,Suroeste,,,Entre 15 y 20 Años,,,,4,2,,35 Kg CO2/m² año,390000,,Perfecto Estado
155,,140,3,,,Gas natural,,madrid,Si,,,,Gas Natural,2,Tarima normal,,,,Si,1986,,,Ladrillo,,,,,,,,116,,Si,,,Sur,,,Entre 35 y 50 Años,,,,4,1,,,399000,,Perfecto Estado
156,Si,190,,,,Individual,,madrid,Si,3,,,Gas Natural,1,Gres,,,,,2004,,3,Ladrillo,,,,,Si,,"130,00 €",140,,Si,,Si,Suroeste,,,Entre 15 y 20 Años,,,,3,2,,,399900,Si,Perfecto Estado
157,,176,,,,Individual,,madrid,Si,3,,,Gasóleo,,Tarima normal,,,,,1959,,,,,,,,,,,134,,Si,,Si,Oeste,,,Entre 5 y 10 Años,Si,,,4,3,,,399900,,Perfecto Estado
158,,214,,,,Individual,,madrid,Si,3,,,Gasóleo,3,Tarima Flotante,,,,Si,1987,,6,Ladrillo,,,,,,,,150,,Si,,Si,Sur,,,Mas de 25 Años,,,,4,3,,,399900,Si,
159,,276,,Si,Si,Individual,243 KW h/m² año,madrid,Si,,,,Suelo Radiante,2,Porcelánico,,,,,1989,Si,3,Otros materiales,Si,,,,,,,275,Si,Si,,Si,Suroeste,,,Entre 25 y 35 años,,,,6,3,Si,49 Kg CO2/m² año,399900,Si,Perfecto Estado
160,,120,,Si,,Gas natural,,madrid,Si,1,,,Gas Natural,1,Parquet,Si,,,,1980,,5,Ladrillo,,,,,Si,,"200,00 €",96,Si,,,Si,Norte,,,Mas de 25 Años,,Si,,4,2,,,415000,,Perfecto Estado
161,,272,,Si,,Gas natural,248 KW h/m² año,madrid,Si,1,Si,,Gas Natural,2,Gres,,,,Si,1991,,4,Ladrillo,,,,,,,,218,,Si,,Si,,,,Entre 25 y 35 años,,,,4,3,,50 Kg CO2/m² año,425000,,Perfecto Estado
162,,273,,,,Gas natural,,madrid,,1,Si,,Gas Natural,1,Tarima normal,Si,Si,,Si,2006,Si,,Ladrillo,,,,,,,,235,,Si,,,Sur,,Si,Entre 10 y 15 Años,,,,4,4,,,428000,,Perfecto Estado
163,Si,108,,Si,,Central,,madrid,Si,1,,,Central,1,Parquet,Si,,,,1970,Si,3,Ladrillo,,,,,Si,,"200,00 €",98,Si,Si,,Si,Noroeste,,,Más de 50 años,,,,3,2,,,429900,Si,Perfecto Estado
164,Si,92,11,,,Gas natural,,madrid,Si,,,,Central,,Porcelánico,,,,,1979,,4,,,22,,,Si,,,,,Si,,Si,,,,Entre 35 y 50 Años,,,,2,2,,,435000,,Perfecto Estado
165,,127,,,,Gas natural,,madrid,Si,1,Si,Si,Gas Natural,1,Parquet,Si,,Si,,,Si,,,,,,,Si,,,110,Si,,,Si,,,,Entre 20 y 25 Años,,Si,,4,2,,,438000,,
166,Si,94,6,Si,,Gas natural,190 KW h/m² año,madrid,,,,,Gas Natural,,Tarima normal,,,,,1993,,,Ladrillo,,3,,,Si,,,71,,,,,,,,Mas de 25 Años,,,,2,2,,39 Kg CO2/m² año,439000,,Perfecto Estado
167,,203,2,,Si,Gas natural,,madrid,Si,1,,,Gas Natural,,Gres,,,,,1990,,,Ladrillo,,,,,,,,198,,Si,,,Sureste,,,Entre 25 y 35 años,,,,5,2,,,440000,,Depende del precio
168,Si,111,,Si,,Individual,,madrid,Si,1,,,Central,,Tarima normal,,,,,1960,,,Ladrillo,,,,,Si,,,92,,,,,Oeste,,,Más de 50 años,,,,4,2,,,443000,,
169,Si,118,,Si,,Gas natural,,madrid,Si,1,Si,,Gas Natural,1,Tarima normal,Si,,,,1994,Si,,,,,,,,,,94,Si,Si,,,,,,Mas de 25 Años,,Si,,3,2,,,449000,,Perfecto Estado
170,Si,105,,Si,,Gas natural,,madrid,Si,,Si,,Gas Natural,1,Parquet,Si,,,,2006,Si,,,,,,,Si,,"180,00 €",,Si,,,Si,Oeste,,,Entre 15 y 20 Años,,,,3,2,,,450000,Si,Perfecto Estado
171,Si,142,,Si,,Gas natural,,madrid,Si,1,Si,Si,Individual,1,Tarima normal,Si,Si,,,2002,Si,5,Ladrillo,,,,,Si,,"190,00 €",111,,Si,Si,Si,Sureste,,Si,Entre 20 y 25 Años,,,,4,2,,,450000,,Depende del precio
172,Si,117,,,,Gas natural,,madrid,Si,,Si,,Gas Natural,1,Porcelánico,Si,,,,2009,Si,4,Ladrillo,,85,,,Si,,"179,00 €",107,Si,Si,,Si,Noreste,,,Entre 15 y 20 Años,,Si,,3,2,,,450000,Si,Perfecto Estado
173,,111,,Si,,,223 KW h/m² año,madrid,Si,,Si,,Gas Natural,1,Parquet,Si,,,,,Si,,,,,,,Si,,"85,00 €",94,,Si,,,Sureste,,,,,,4,3,2,,45 Kg CO2/m² año,459000,,Perfecto Estado
174,Si,136,6,Si,,Gas natural,,madrid,Si,,Si,,Gas Natural,1,Parquet,Si,,,,1989,Si,4,Ladrillo,,10,,,Si,,"172,07 €",110,Si,,,Si,Noroeste,,,Mas de 25 Años,,Si,,4,2,,,460000,,Perfecto Estado
175,,93,,Si,,Individual,,madrid,,1,Si,,Aerotermia,2,Porcelánico,Si,,Si,,2023,Si,,Ladrillo,,,,,Si,,,92,,Si,,Si,Norte,,,Menos de 5 Años,,,,3,2,,,460000,,Perfecto Estado
176,Si,105,5,Si,,Individual,225 KW h/m² año,madrid,Si,1,,,Gas Natural,,Parquet,,,,,1995,,3,Ladrillo,,,,,Si,,"54,00 €",84,Si,Si,,,Suroeste,,,Entre 25 y 35 años,,,,3,2,,47 Kg CO2/m² año,464900,Si,Perfecto Estado
177,,96,,Si,,,,madrid,,1,Si,,,1,Parquet,Si,,,,1996,Si,3,Ladrillo,,,,,Si,,"165,00 €",86,,Si,,,Noreste,,,Mas de 25 Años,,,,3,2,,,465000,,
178,,152,,Si,,,,madrid,,1,,,Central,1,Parquet,Si,,,,1972,,,,,,,,Si,,,142,,,,,,,,Más de 50 años,,,,4,2,,,469000,,
179,Si,143,,Si,,Central,,madrid,Si,3,,,Central,1,Parquet,Si,,,,1970,,5,Ladrillo,,,,,Si,,,126,Si,,,Si,Este,,,Más de 50 años,,,,4,2,Si,,470000,Si,Perfecto Estado
180,,270,,Si,,Gas natural,,madrid,Si,2,,,Individual,1,Tarima normal,,,,Si,2005,,,,,,,,,,,,,Si,,,,,,Entre 10 y 15 Años,,,,3,3,,,475000,Si,Perfecto Estado
181,,114,,Si,,Central,,madrid,Si,1,,,Central,,Tarima Flotante,,,,,1960,,1,,,,,,Si,,"126,00 €",92,Si,,,,,,,Más de 50 años,,,,4,1,,,475000,Si,
182,,265,,,,Gas natural,,madrid,Si,1,Si,Si,Gas Natural,1,Gres,,,,Si,1991,Si,,,,,,,,,,212,Si,,,Si,,,,,,,,4,3,,,480000,Si,Perfecto Estado
183,,160,7,,,Gas natural,,madrid,Si,,,,Gas Natural,1,Parquet,Si,,,,1996,,,Ladrillo,,15,,,Si,,"100,00 €",104,,,,,,,,Mas de 25 Años,,Si,,3,2,,,480000,Si,Perfecto Estado
184,Si,153,,Si,,,,madrid,Si,2,,,,,Tarima Flotante,Si,,,,,,,,,,,,Si,,"152,00 €",139,,,,,,,,Más de 50 años,,,,4,3,,,485000,,
185,Si,70,7,Si,,Central,26 KW h/m² año,madrid,Si,,Si,,Suelo Radiante,1,Tarima normal,Si,,Si,,,Si,2,Ladrillo,,,,,Si,,,,Si,Si,,Si,,,,Menos de 5 Años,,Si,,2,2,,5 Kg CO2/m² año,485000,Si,Perfecto Estado
186,,400,,Si,,Gas natural,,madrid,Si,3,Si,,Gas Natural,2,Gres,,,,,2004,,4,Ladrillo,,,,,,,,320,,Si,,,,,,Entre 15 y 20 Años,Si,,,5,4,,,489000,,Perfecto Estado
187,,163,,,,Gas natural,,madrid,Si,,Si,,Gas Natural,1,Tarima Flotante,,,,Si,1999,Si,,,,,,,,,,130,Si,Si,,Si,,,,,,,,5,2,,,490000,,Perfecto Estado
188,,240,2,Si,,Gas natural,,madrid,Si,,Si,,Gas Natural,,,,,,Si,2000,Si,5,,,,,,,,,200,Si,Si,,Si,,,,Entre 20 y 25 Años,,Si,,4,3,,,520000,,Perfecto Estado
189,,187,,Si,,,,madrid,Si,1,Si,,Gas Natural,1,Tarima normal,Si,,Si,,,Si,5,,,,,,Si,,,73,,Si,Si,Si,Sur,,,Menos de 5 Años,,Si,,3,2,,,520000,Si,Perfecto Estado
190,,110,,,,Individual,,madrid,Si,,,,Individual,,Parquet,,,,,1880,,,,Si,,,,Si,,"169,79 €",94,,Si,,,Este,,,Más de 50 años,,,,3,2,,,525000,,
191,,259,,Si,,Gas natural,,madrid,Si,,Si,,Gas Natural,1,Tarima normal,,,,,,,5,,,,,,,,,207,,Si,,Si,Oeste,,,Entre 20 y 25 Años,Si,,,5,5,,,525000,,Perfecto Estado
192,,240,,Si,,Individual,,madrid,Si,2,,,Gas Natural,1,Tarima normal,,,,,,,4,,,,,,,,,192,Si,Si,,,Norte,,,,Si,,,3,4,,,528000,,Perfecto Estado
193,Si,213,,Si,,Gas natural,,madrid,Si,2,Si,,Gas Natural,2,Parquet,Si,,,,1993,,4,Ladrillo,Si,,,,Si,,"200,00 €",156,Si,,,,,,,Mas de 25 Años,,,,4,2,,,529000,,Perfecto Estado
194,,65,,Si,,Individual,81 KW h/m² año,madrid,Si,,,,Eléctrica,,Tarima Flotante,,,,,1905,,,Ladrillo,,,,,,,"65,00 €",,,Si,,,,,,Más de 50 años,,,,2,2,,17 Kg CO2/m² año,530000,Si,Perfecto Estado
195,Si,153,4,,,Gas natural,,madrid,Si,2,Si,,Individual,1,Parquet,Si,,,,2001,Si,6,Ladrillo,Si,37,,,Si,,,122,Si,Si,,Si,Sur,,,Entre 20 y 25 Años,,Si,,4,2,Si,,530000,Si,Perfecto Estado
196,,201,,Si,,Gas natural,,madrid,Si,1,,,Gas Natural,1,Gres,,,,,,,,,,,,,,,,200,,Si,,Si,,,,Entre 15 y 20 Años,Si,,,4,3,,,545000,,
197,Si,117,5,Si,,Gas natural,,madrid,Si,2,Si,,Gas Natural,3,Parquet,,,,,2004,Si,5,Ladrillo,,22,,,Si,,"165,00 €",92,Si,Si,,Si,Sur,,,Entre 20 y 25 Años,,Si,,4,2,,,550000,Si,
198,,190,,Si,,Gas natural,,madrid,Si,2,Si,,Gas Natural,2,Parquet,,,,Si,,Si,3,Ladrillo,,,,,,,,155,,Si,,,Este,,,Mas de 25 Años,,,,3,3,,,554900,,Perfecto Estado
199,,302,,Si,,Gas natural,231 KW h/m² año,madrid,Si,,Si,,Gas Natural,1,Tarima normal,,,,Si,,,,,,,,,,,"40,00 €",204,,Si,,Si,Este,,,Entre 10 y 15 Años,,,,5,3,,,569900,,Perfecto Estado
200,Si,100,,Si,,Central,133 KW h/m² año,madrid,Si,2,,,Central,1,Parquet,Si,,,,1968,,,Ladrillo,,,,,Si,,"140,00 €",90,,Si,,,Norte,,,,,,,4,2,,28 Kg CO2/m² año,570000,Si,
201,,330,,Si,,Individual,,madrid,Si,1,Si,,Individual,1,Parquet,Si,,,,1993,,,Ladrillo,,,,,Si,,"156,75 €",111,Si,Si,,Si,Noreste,,,Entre 20 y 25 Años,,,,3,3,,,575000,,Perfecto Estado
202,,213,,Si,,Individual,,madrid,Si,1,Si,,Individual,2,Tarima Flotante,,,,,2017,Si,5,Ladrillo,Si,,,,,,,170,Si,Si,,Si,Sur,,,Menos de 5 Años,Si,Si,,3,3,Si,,575000,Si,Perfecto Estado
203,,124,,Si,Si,Gas natural,180 KW h/m² año,madrid,Si,,,,Gas Natural,,Parquet,,,,,1970,,,,Si,,,,,,,,,Si,,,Este,,,,,,,2,2,,50 Kg CO2/m² año,584000,,Perfecto Estado
204,,136,,Si,,Individual,,madrid,Si,,,,Gas Natural,1,Tarima normal,Si,,,,2001,,,Ladrillo,,,,,Si,,"150,00 €",120,,Si,,Si,,,,Entre 20 y 25 Años,,Si,,3,2,,,590000,,Perfecto Estado
205,Si,357,,,,Gas natural,,madrid,Si,,,,Gas Natural,4,Marmol,,,,Si,2000,,5,Ladrillo,,,,,,,,286,Si,,,Si,Sur,,,Entre 20 y 25 Años,,,,6,3,,,595000,Si,Perfecto Estado
206,Si,240,,Si,,Gas natural,,madrid,Si,,Si,,Gas Natural,2,Otros,Si,,,Si,2000,Si,4,Ladrillo,,,,,,,,220,Si,Si,,Si,Sur,,,Entre 20 y 25 Años,,Si,,4,3,,,598000,,
207,Si,230,6,Si,,Gas natural,218 KW h/m² año,madrid,Si,2,Si,,Gas Natural,1,Tarima Flotante,Si,,,,2006,Si,4,Mono Capa,,12,,,Si,,"150,00 €",115,Si,Si,Si,Si,,,,Entre 15 y 20 Años,,Si,,4,2,,45 Kg CO2/m² año,599000,Si,
208,,338,3,Si,,Gas natural,,madrid,Si,,,,Gas Natural,2,Parquet,,,,,1991,Si,6,Ladrillo,,,,,,,,282,,,,Si,Noroeste,,,Entre 25 y 35 años,Si,,,6,3,,,599000,Si,Depende del precio
209,Si,123,,Si,,Central,180 KW h/m² año,madrid,Si,1,,,Central,1,Parquet,Si,,,,1982,Si,5,Ladrillo,,,,,Si,,,,Si,,,Si,Noreste,,,Mas de 25 Años,,,,4,2,,38 Kg CO2/m² año,600000,Si,Perfecto Estado
210,,276,3,Si,,Gas natural,,madrid,Si,,Si,,Gas Natural,1,Gres,,,,,2005,Si,7,Ladrillo,,,,,,,,240,,Si,,,Noroeste,,,Entre 20 y 25 Años,Si,,,6,3,,,609000,Si,Perfecto Estado
211,,228,4,Si,,Individual,,madrid,,2,Si,,Gas Natural,3,Marmol,,,,Si,,Si,5,Ladrillo,,,,,,,,200,Si,Si,,,Sur,,,,,,,3,3,Si,,609900,Si,Perfecto Estado
212,,207,3,Si,,Gas natural,,madrid,Si,,,,Gas Natural,3,Tarima Flotante,,,,,2005,Si,4,Ladrillo,,,,,,,,175,,Si,,,Noroeste,,,Entre 15 y 20 Años,Si,,,4,3,,,609995,Si,Depende del precio
213,,288,,Si,Si,Individual,,madrid,Si,1,Si,,Eléctrica,2,Marmol,,,,,,Si,4,Ladrillo,Si,,,,,,,,Si,Si,,Si,Sureste,,,Entre 25 y 35 años,,,,5,3,,,610000,Si,Perfecto Estado
214,,338,3,Si,,Gas natural,,madrid,Si,,,,Gas Natural,1,Gres,,,,Si,,,,,,,,,,,,251,,Si,,Si,Sur,,,Entre 15 y 20 Años,,,,4,4,,,614900,,Perfecto Estado
215,,253,3,Si,,Gas natural,,madrid,Si,,Si,,Gas Natural,1,Tarima Flotante,,,,,1997,Si,4,Ladrillo,,,,,,,,220,,Si,,,Suroeste,,,Entre 25 y 35 años,Si,,,5,3,,,619000,Si,Depende del precio
216,Si,218,,Si,,Individual,,madrid,Si,1,,,Aerotermia,4,Porcelánico,,,,Si,2024,Si,5,Ladrillo,,,,,Si,,,190,Si,Si,,Si,Sur,,,Menos de 5 Años,,,,4,3,,,620000,Si,Perfecto Estado
217,,171,,,,Gas natural,,madrid,Si,,,,Gas Natural,,Tarima Flotante,,,,Si,2008,,3,,,,,,,,,162,Si,Si,,Si,Sur,,,Entre 15 y 20 Años,,,,3,2,,,649900,Si,Perfecto Estado
218,,283,3,Si,,Gas natural,,madrid,Si,,Si,,Gas Natural,1,Tarima Flotante,,,,,2004,Si,6,Cemento,,,,,,,,240,Si,Si,,Si,Oeste,,,Entre 15 y 20 Años,Si,Si,,5,3,,,679000,Si,Perfecto Estado
219,,109,,Si,,Individual,81 KW h/m² año,madrid,Si,3,,,Gas Natural,,Parquet,,,,,1920,,1,Mono Capa,,,,,Si,,"120,00 €",90,,Si,,,Sur,,,Más de 50 años,,,,2,2,,17 Kg CO2/m² año,699000,Si,Perfecto Estado
220,,293,,Si,,Gas natural,,madrid,Si,1,,,Gas Natural,4,Parquet,,,,Si,1990,,4,,,,,,,,,234,,Si,,,Noroeste,,,Mas de 25 Años,,,,6,4,,,699000,,Perfecto Estado
221,,170,,Si,,,,madrid,Si,1,Si,,Suelo Radiante,2,Porcelánico,Si,,,,2018,Si,5,Ladrillo,,,,,Si,,"206,00 €",,Si,Si,,Si,Oeste,,,Entre 5 y 10 Años,,Si,,4,3,,,699000,Si,Perfecto Estado
222,,392,,Si,Si,Gas natural,,madrid,Si,1,Si,,Gas Natural,2,Tarima Flotante,,,,,2006,Si,6,Ladrillo,,,,,Si,,,285,,Si,,,,,,Entre 15 y 20 Años,,,,7,4,Si,,699000,Si,Perfecto Estado
223,Si,330,4,Si,,Individual,,madrid,Si,3,Si,,Suelo Radiante,2,Porcelánico,,,,,2019,Si,5,Otros materiales,,,,,,,"100,00 €",258,Si,Si,Si,Si,,,,Entre 5 y 10 Años,Si,Si,,4,4,,,704999,Si,Perfecto Estado
224,,110,,,,Gas natural,,madrid,Si,,,,Gas Natural,,Sintasol,,,,,1906,,,,,,,,,,"84,46 €",92,,,,Si,,,,Más de 50 años,,,,3,1,,,990000,,A reformar
225,Si,179,,Si,,Individual,,madrid,Si,,,,Central,1,Parquet,Si,,,,1967,,,Ladrillo,,,,,Si,,"308,00 €",,,Si,,Si,Sur,,,Más de 50 años,,,,4,3,,,1200000,,Perfecto Estado
226,Si,162,,Si,,Individual,188 KW h/m² año,madrid,Si,4,,,Central,,Tarima Flotante,Si,,,,1930,Si,3,Mono Capa,Si,,,,Si,,"172,00 €",144,Si,Si,,,Oeste,,,Más de 50 años,,Si,,3,2,,39 Kg CO2/m² año,1390000,Si,Perfecto Estado
227,Si,150,6,Si,,Individual,,madrid,Si,1,,,Individual,2,Otros,Si,,,,1977,Si,3,Ladrillo,,86,,,Si,,"230,00 €",,,Si,,,,,,Entre 35 y 50 Años,,Si,,3,3,Si,,1849000,,Perfecto Estado
228,,462,,Si,,,,madrid,Si,,,,Gas Natural,3,Marmol,,,,,,,,,,,,,Si,,,459,,Si,,,,,,Más de 50 años,,,,15,3,,,1850000,,A reformar
229,,378,,,,Central,,madrid,Si,1,,,Central,2,Otros,Si,,,,,,5,,Si,24,,,Si,,,288,Si,Si,,Si,Suroeste,,,Más de 50 años,,,,4,3,Si,,3850000,Si,Perfecto Estado
230,Si,672,8,,,Central,,madrid,Si,2,,,Central,1,Parquet,Si,,,,1954,,8,Cemento,Si,8,,,Si,,"1.000,00 €",478,Si,Si,,Si,Este,,,Más de 50 años,,,,4,5,Si,,6600000,Si,Perfecto Estado
231,,150,,Si,,Individual,215 KW h/m² año,madrid,Si,1,,,Eléctrica,,Baldosa,,,,Si,1986,,5,Ladrillo,,2,,,,,,120,,Si,,,,,,Entre 35 y 50 Años,,,,6,3,,36 Kg CO2/m² año,A consultar,,Perfecto Estado
232,Si,108,,Si,,Gas natural,59 KW h/m² año,madrid,Si,,Si,,Gas Natural,1,Porcelánico,Si,,,,2019,Si,4,Ladrillo,,,,,Si,,"128,63 €",84,,Si,,Si,Sureste,,,Menos de 5 Años,,,,3,2,,12 Kg CO2/m² año,A consultar,,Perfecto Estado
233,,115,4,,,Individual,,madrid,Si,1,,,Individual,,Parquet,,,,,1900,,,,,,,,,,"55,00 €",92,Si,Si,,,Oeste,,,Más de 50 años,,,,2,2,,,A consultar,Si,Perfecto Estado
234,,30,,,,,,madrid,,,,,,,Tarima Flotante,,,,,,,1,,,,,,,,"35,00 €",29,,Si,,,,,,Más de 50 años,,,,1,1,,,A consultar,Si,Depende del precio
