,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Garajes,Tipo de suelo,Conserje,Pista de fútbol,Gimnasio,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Cal. energética,Ascensor,Campo de golf,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Pista de pádel,Trastero,Orientación,Pista de squash,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Emisiones,Precio,Cocina equipada,Estado
118,,94,,Si,,Central,,guadalajara,Si,2,Si,,Central,1,Parquet,,,,,,,4,Ladrillo,Si,,,,Si,,"100,00 €",89,Si,Si,,Si,,,,Entre 35 y 50 Años,,,,3,2,Si,,159000,Si,Perfecto Estado
119,,100,,,,Central,,guadalajara,Si,,Si,,Individual,,Gres,,Si,,,1996,,3,Ladrillo,,,,,,,"75,00 €",85,,Si,,,,,Si,Entre 20 y 25 Años,,,,3,2,Si,,159000,Si,Perfecto Estado
120,,130,,Si,,Individual,,guadalajara,Si,,,,Gasóleo,1,Gres,,,,,2000,Si,,Ladrillo,,,,,,,,110,,,,,Suroeste,,,Entre 20 y 25 Años,Si,,,3,2,,,179000,Si,Depende del precio
121,,125,,,,,,guadalajara,Si,2,,,,1,Tarima normal,,,,,2010,,,Ladrillo,,,,,Si,,,112,,,,,,,,Entre 10 y 15 Años,,,,3,2,,,179000,Si,Perfecto Estado
122,,108,,Si,,Individual,,guadalajara,Si,1,,,Central,1,Parquet,,,,,,,2,Ladrillo,,,,,Si,,,98,,,,,Este,,,Entre 20 y 25 Años,,,,4,2,,,185000,Si,A reformar
123,,150,,,,,,guadalajara,Si,,Si,,Gas Natural,,Tarima normal,,,,,2004,Si,3,Ladrillo,,,,,Si,,"70,00 €",145,,,Si,Si,,,Si,Entre 15 y 20 Años,,,,3,2,Si,,189000,Si,Perfecto Estado
124,Si,225,,Si,,,182 KW h/m² año,guadalajara,Si,1,,,Gas Natural,,Gres,,,,,2004,,4,Ladrillo,Si,,,,,,,180,Si,Si,,Si,,,,Entre 15 y 20 Años,Si,Si,,4,3,,45 Kg CO2/m² año,189900,Si,Perfecto Estado
125,,120,,Si,,Individual,,guadalajara,Si,2,,,Gas Natural,,Parquet,,,,,,,,Ladrillo,,5,,,Si,,"73,00 €",104,,,,Si,,,,Entre 20 y 25 Años,,,,4,2,,,197000,Si,Depende del precio
126,,140,,Si,,Gas natural,,guadalajara,Si,,,,Gas Natural,1,Gres,,,,,2000,,2,Ladrillo,Si,,,,,,,138,,Si,,,Oeste,,,Entre 20 y 25 Años,Si,,,4,2,Si,,199000,Si,Perfecto Estado
127,,221,1,Si,,Individual,,guadalajara,Si,,Si,,Gas Natural,1,Porcelánico,,,,,2000,Si,2,Ladrillo,Si,,Si,,,,,185,,Si,,Si,,,,Entre 20 y 25 Años,Si,,,2,2,,,214000,,Perfecto Estado
128,,161,,Si,,Central,,guadalajara,Si,1,,,Central,1,Gres,Si,,,,1976,,5,Ladrillo,,,,,Si,,"100,00 €",120,,,,,,,,Entre 35 y 50 Años,,,,5,4,,,225000,Si,Depende del precio
129,,115,3,Si,,Individual,,guadalajara,Si,,,,Gas Natural,2,Tarima normal,,,,,2001,,3,Ladrillo,,5,,,Si,,"50,00 €",100,Si,Si,,Si,,,,Entre 10 y 15 Años,,,,4,2,,,229000,,Perfecto Estado
130,,183,,Si,,Individual,,guadalajara,Si,,,,Individual,1,Tarima Flotante,,,,,2004,,5,Ladrillo,,,,,,,,168,,,,Si,Noreste,,,Entre 15 y 20 Años,Si,,,3,3,,,230000,Si,Depende del precio
131,,182,,,,Gas natural,,guadalajara,,,,,Individual,1,Tarima Flotante,,,,,2005,Si,4,Ladrillo,,,,,Si,,,149,Si,,Si,Si,,,,Entre 15 y 20 Años,,,,4,2,Si,,246000,Si,Perfecto Estado
132,,327,,Si,,Individual,,guadalajara,Si,2,Si,,Gasóleo,2,Porcelánico,,,,,2000,,4,Ladrillo,,,,,,,,280,Si,Si,,Si,,,,Entre 20 y 25 Años,Si,,,5,3,,,250000,,Perfecto Estado
