,,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Salida de humos,Garajes,Tipo de suelo,Conserje,Pista de fútbol,Gimnasio,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Cal. energética,Ascensor,Campo de golf,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Pista de pádel,Trastero,Orientación,Pista de squash,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Emisiones,Precio,Cocina equipada,Estado
133,,Si,103,7,Si,,,,murcia,,,,,,,1,Parquet,,,,,1977,,2,Ladrillo,,34,,,Si,,"70,00 €",83,,Si,,Si,Este,,,,,,,3,2,,,A consultar,,A reformar
134,,,107,4,Si,,,,murcia,Si,1,,,,,,Porcelánico,,,,,1964,,3,Cemento,,8,,,Si,,"100,00 €",86,Si,Si,,,Oeste,,,Más de 50 años,,,,3,2,,,A consultar,Si,Perfecto Estado
135,,,63,3,Si,,,,murcia,,1,,,,,,Porcelánico,,,,,1960,,,,,6,,,,,"30,00 €",51,Si,,,,Sureste,,,Más de 50 años,,,,2,1,Si,,A consultar,Si,Perfecto Estado
136,,,202,,Si,,,,murcia,,1,,,,,2,Gres,,,,,2001,,4,,,,,,,,"23,00 €",,,,,Si,Este,,,Entre 15 y 20 Años,,,,3,3,,,A consultar,,Perfecto Estado
137,,Si,147,,Si,,Individual,,murcia,Si,2,,,Individual,,1,Gres,,,,,2004,,3,,,,,,Si,,"50,00 €",,Si,Si,,Si,Sur,,,Entre 15 y 20 Años,,,,3,2,,,A consultar,,Perfecto Estado
138,,Si,140,4,Si,,,,murcia,Si,,,,,,1,Porcelánico,,,,,1982,,4,Ladrillo,,40,,,Si,,"110,00 €",,Si,Si,,Si,,,,Entre 35 y 50 Años,,,,4,2,,,A consultar,,Perfecto Estado
139,,Si,98,9,Si,,,,murcia,Si,,,,,,1,Gres,,,,,1975,,,Ladrillo,,18,,,Si,,,,,,,Si,Sur,,,Entre 35 y 50 Años,,,,3,1,,,A consultar,,
140,,Si,126,4,Si,,,,murcia,Si,1,,,,,1,Gres,,,,,1990,,,Ladrillo,,8,,,Si,,"95,00 €",,,,,Si,Sur,,,Entre 25 y 35 años,,,,4,2,,,A consultar,,
141,,,154,,Si,,,,murcia,Si,1,,,,,2,Gres,,,,,1997,,1,,,,,,,,"47,00 €",,Si,Si,,Si,,,,Entre 25 y 35 años,,,,3,2,,,A consultar,,
142,,,118,4,Si,,,,murcia,Si,,,,,,,Gres,,,,,1964,,,Ladrillo,,8,,,,,,95,Si,,,,,,,Más de 50 años,,,,4,1,,,A consultar,,A reformar
143,,Si,113,,Si,,,,murcia,Si,,,,,,1,Tarima Flotante,,,,,1985,,3,,,,,,Si,,"65,00 €",,Si,Si,,Si,,,,Entre 35 y 50 Años,,,,4,2,,,A consultar,,Perfecto Estado
144,,Si,129,,Si,,,,murcia,Si,,,,,,1,Gres,,,,,1986,,,,,,,,Si,,,,Si,Si,,Si,,,,Entre 35 y 50 Años,,,,4,2,,,A consultar,,Perfecto Estado
145,,Si,106,7,Si,,,,murcia,Si,1,,,,,,Gres,,,,,1967,,,Ladrillo,,20,,,Si,,"45,00 €",,Si,,,Si,Noroeste,,,Más de 50 años,,,,3,1,,,A consultar,,A reformar
146,,Si,82,,Si,,,,murcia,Si,1,,,,,,Porcelánico,,,,,1995,,1,,,,,,Si,,"36,00 €",65,,Si,,Si,,,,Entre 25 y 35 años,,,,2,2,,,A consultar,,Perfecto Estado
147,,Si,141,,Si,,,,murcia,Si,1,,,,,1,Gres,Si,,,,1983,Si,4,,,,,,Si,,"128,00 €",101,Si,Si,,,,,,Entre 35 y 50 Años,,,,3,2,,,A consultar,,A reformar
148,,Si,148,,Si,,,,murcia,Si,1,,,,,1,Parquet,,,,,1986,,3,Ladrillo,,,,,Si,,"80,00 €",90,Si,Si,,,Sureste,,,Entre 35 y 50 Años,,,,4,2,,,A consultar,,Perfecto Estado
149,,,117,1,Si,,,,murcia,Si,1,,,,,,Tarima Flotante,,,,,1957,,,Ladrillo,,,,,Si,,"44,00 €",94,Si,Si,,,,,,Más de 50 años,,,,3,2,Si,,A consultar,Si,Perfecto Estado
150,,Si,82,7,Si,,,,murcia,Si,,,,,,,,,,,,,,,,,,,,Si,,"33,00 €",,,,,,,,,,,,,3,1,,,A consultar,,A reformar
151,,,113,,Si,,,,murcia,Si,1,,,,,1,,,,,,1979,,,,,,,,Si,,"55,00 €",91,,,,,,,,Entre 35 y 50 Años,,,,4,2,,,A consultar,,
152,,Si,90,5,Si,,,,murcia,Si,1,,,,,,,,,,,1967,,4,,,10,,,Si,,"67,67 €",78,,,,,Noreste,,,Más de 50 años,,,,3,1,,,A consultar,,
153,,,79,,Si,,,,murcia,Si,,,,,,,,,,,,1959,,,,,,,,,,,65,,,,,,,,Más de 50 años,,,,2,1,,,A consultar,,A reformar
154,,,77,4,Si,,,,murcia,Si,,,,,,,,,,,,1975,,,,,,,,Si,,,67,,,,,,,,Entre 35 y 50 Años,,,,2,1,,,A consultar,,A reformar
155,,,94,1,Si,Si,Individual,,murcia,Si,3,,,,,1,Gres,,,,,1991,,,Otros materiales,,1,,,,,,,,,,Si,,,,Entre 25 y 35 años,,,,4,2,,,A consultar,,Perfecto Estado
156,,,83,,Si,,Individual,,murcia,Si,3,,,,,1,Gres,,,,Si,2001,Si,3,,,,,,,,,70,Si,,,,,,,Entre 20 y 25 Años,,,,3,2,,,A consultar,Si,Perfecto Estado
157,,,815,2,Si,Si,,,murcia,Si,3,,,,,,,,,,,1965,,,,,,,,,,,,,,,,,,,Más de 50 años,,,,6,2,,,A consultar,,A reformar
158,,,105,7,Si,,,,murcia,,,,,,,,,,,,,1970,,,,,,,,Si,,"38,00 €",,,,,,,,,Más de 50 años,,,,3,2,,,A consultar,,A reformar
159,,Si,106,4,Si,,,,murcia,Si,,,,,,,Gres,,,,,1969,,4,,,12,,,Si,,,85,,Si,,Si,,,,Entre 35 y 50 Años,,,,3,2,Si,,A consultar,,A reformar
160,,Si,112,5,Si,,,,murcia,Si,,,,,,,,,,,,1965,,,Cemento,,,,,Si,,,90,,,,,,,,,,,,3,2,,,A consultar,,A reformar
161,,,96,,Si,Si,,,murcia,,,,,,,,Gres,,,,,1950,,,Cemento,,,,,,,,,,,,,,,,Más de 50 años,,,,2,1,,,A consultar,,A reformar
162,,,144,,Si,,,,murcia,Si,2,,,,,1,Gres,,,,,1965,,,,,,,,,,,,,,,Si,,,,Entre 35 y 50 Años,,,,3,1,,,A consultar,Si,Depende del precio
163,,,82,,Si,,Individual,,murcia,Si,1,,,,,,Tarima Flotante,,,,,,,,,,,,,,,"25,00 €",,,Si,,,,,,Entre 35 y 50 Años,,,,3,1,,,A consultar,Si,Depende del precio
164,,,107,2,Si,,,,murcia,Si,1,,,,,,Gres,,,,,1960,,1,,,1,,,,,,,,,,,,,,Entre 35 y 50 Años,,,,3,2,,,A consultar,Si,Depende del precio
165,,,89,,Si,,,,murcia,Si,1,,,,,,Gres,,,,,1960,,,,,1,,,,,,,,Si,,,,,,Entre 35 y 50 Años,,,,3,1,,,A consultar,,Depende del precio
166,,,65,,Si,,,,murcia,Si,,,,,,,Tarima normal,,,,,,,,,,,,,,,,52,,Si,,Si,Sur,,,Más de 50 años,,,,3,1,,,A consultar,Si,Depende del precio
167,,Si,89,,Si,,,,murcia,,1,,,,,1,,,,,,1982,,,,,,,,Si,,"83,00 €",,,,,Si,,,,Entre 35 y 50 Años,,,,3,1,,,A consultar,Si,Depende del precio
168,,,120,,Si,,,,murcia,,,,,,,,,,,,,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,A consultar,,
