,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Garajes,Tipo de suelo,Conserje,Pista de fútbol,Gimnasio,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Cal. energética,Ascensor,Campo de golf,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Pista de pádel,Trastero,Orientación,Pista de squash,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Emisiones,Precio,Cocina equipada,Estado,Salida de humos,
644,,55,,Si,,Individual,218 KW h/m² año,madrid,Si,,,,Eléctrica,,Gres,,,,,1961,,,Cemento,,,,,,,,46,,Si,,,Este,,,Más de 50 años,,,,3,1,,37 Kg CO2/m² año,250000,,Depende del precio,,
645,,62,,Si,,Individual,225 KW h/m² año,madrid,Si,1,,,Eléctrica,1,Porcelánico,,,,,1975,,2,Ladrillo,,,,,,,,,Si,Si,,,Sur,,,Mas de 25 Años,,,,2,1,,38 Kg CO2/m² año,250000,,Perfecto Estado,,
646,Si,100,3,,,Individual,,madrid,Si,,,,,,Tarima Flotante,Si,,,,1970,Si,,Ladrillo,,,,,,,,89,,Si,,,Este,,,Más de 50 años,,,,1,2,,,250000,Si,Perfecto Estado,,
647,,87,,,,Gas natural,,madrid,Si,,Si,,Gas Natural,1,Parquet,Si,,,,2004,Si,3,Cemento,,,,,Si,,"98,00 €",70,Si,,,,Oeste,,,Entre 10 y 15 Años,,Si,,2,2,,,250000,Si,Perfecto Estado,,
648,Si,117,,,,Central,,madrid,,1,,,Suelo Radiante,1,Tarima normal,,,,,2009,,1,Otros materiales,,,,,Si,,,65,Si,,,,,,,Entre 10 y 15 Años,,,,1,1,,,250000,,Perfecto Estado,,
649,,60,4,,,Individual,,madrid,Si,,,,Gas Natural,1,Parquet,,,,,1961,,,Ladrillo,,8,,,,,"50,00 €",50,,,,Si,Noreste,,,Más de 50 años,,,,2,1,,,250000,Si,A reformar,,
650,,55,,Si,,Individual,,madrid,Si,,,,Eléctrica,,Tarima Flotante,,,,,1960,Si,,Mono Capa,,,,,Si,,,50,,,,,Sur,,,Más de 50 años,,,,2,1,,,250000,Si,Perfecto Estado,,
651,,117,,,,,,madrid,Si,2,,,Gas Natural,,,,,,,,,3,,,,,,Si,,"70,00 €",,Si,,,Si,Norte,,,Entre 25 y 35 años,,,,3,2,,,253900,,Perfecto Estado,,
652,,55,,Si,,Individual,,madrid,,,,,Individual,,Tarima Flotante,,,,,1900,,,Cemento,,,,,,,,49,,Si,,,Sur,,,Más de 50 años,,,,2,2,Si,,255000,Si,Perfecto Estado,,
653,Si,47,,Si,,,261 KW h/m² año,madrid,Si,,,,Gas Natural,,Gres,,,,,2005,,,Ladrillo,,43,,,Si,,"65,21 €",,Si,Si,,,,,,Entre 15 y 20 Años,,,,,1,,53 Kg CO2/m² año,255000,Si,Perfecto Estado,,
654,,42,,,,Individual,,madrid,,,,,,,Parquet,,,,,1970,,,Ladrillo,,,,,Si,,"48,00 €",,,,,,Oeste,,,Más de 50 años,,,,1,1,Si,,255000,Si,Perfecto Estado,,
655,Si,82,5,Si,,Gas natural,130 KW h/m² año,madrid,Si,2,,,Individual,,Parquet,,,,,,,,Ladrillo,,,,,Si,,,,,,,,Suroeste,,,Mas de 25 Años,,,,3,1,,95 Kg CO2/m² año,255000,,,,
656,,56,3,Si,,Gas natural,,madrid,Si,1,,,Eléctrica,,Gres,,,,,1965,,,Ladrillo,,9,,,,,"50,00 €",52,,,,,Noreste,,,Más de 50 años,,,,2,1,,,256000,Si,Perfecto Estado,,
657,,122,,,,Gas natural,,madrid,Si,,,,Gas Natural,,Gres,,,,Si,,,,,,,,,,,,,Si,Si,,Si,,,,Mas de 25 Años,,,,3,2,,,257000,,Perfecto Estado,,
658,,114,,,,,,madrid,Si,2,Si,,Gas Natural,1,Parquet,,,,,1995,Si,,,,,,,,,,,Si,,,,,,Si,,,,,4,2,,,258000,,,,
659,,86,,,,,,madrid,,,,,Central,,Gres,,,,,1972,,,,,,,,,,"200,00 €",74,,,,Si,,,,Más de 50 años,,,,3,1,,,259000,Si,Perfecto Estado,,
660,,67,12,Si,,Gas natural,,madrid,Si,,,,Gas Natural,,Tarima normal,Si,,,,1969,,,Ladrillo,,48,,,Si,,"57,00 €",56,,,,Si,Este,,,Más de 50 años,,,,2,1,,,259000,Si,A reformar,,
661,,84,4,,,,,madrid,Si,1,,,Eléctrica,,Parquet,,,,,1970,,1,Ladrillo,,4,,,Si,,"250,00 €",73,,,,,,,,Más de 50 años,,,,3,1,,,259900,Si,,,
662,Si,90,7,,,Gas natural,,madrid,Si,,,,Gas Natural,,Parquet,Si,,,,1980,Si,,Ladrillo,,,,,Si,,,85,,,,,,,,Mas de 25 Años,,,,3,2,,,259900,,,,
663,,62,4,Si,,Individual,269 KW h/m² año,madrid,Si,,,,Gas Natural,,Tarima Flotante,,,,,1965,Si,2,Ladrillo,,,,,Si,,"90,00 €",50,Si,Si,,,Sur,,,Más de 50 años,,,,2,1,,56 Kg CO2/m² año,260000,Si,Perfecto Estado,,
664,,54,,,,Individual,,madrid,Si,,Si,,Eléctrica,1,Tarima Flotante,Si,,,,2002,Si,1,Ladrillo,,,,,Si,,"72,00 €",45,Si,,,Si,Oeste,,,Entre 20 y 25 Años,,,,1,1,,,260000,Si,Perfecto Estado,,
665,Si,65,,Si,,Central,,madrid,Si,,Si,,Gas Natural,1,Tarima Flotante,Si,,,,2011,,2,Ladrillo,,,,,Si,,,54,,,,Si,Noreste,,,Entre 10 y 15 Años,,,,1,1,,,260000,Si,Perfecto Estado,,
666,Si,66,,Si,,Individual,,madrid,Si,,,,Gas Natural,1,Tarima normal,,,,,2011,Si,2,,,,,,Si,,"100,00 €",,,,,Si,,,,Entre 10 y 15 Años,,,,2,1,,,262500,,Perfecto Estado,,
667,,76,,Si,,,,madrid,,1,,,,,Parquet,,,,,1976,,,Ladrillo,,,,,,,"58,00 €",67,,Si,,,Sureste,,,Entre 35 y 50 Años,,,,3,1,Si,,264900,,Perfecto Estado,,
668,,77,,,,,,madrid,,,,,Gas Natural,,Parquet,,,,,2002,,,,Si,,,,,,,70,Si,,,Si,,,,Entre 20 y 25 Años,,,,1,1,,,265000,,Perfecto Estado,,
669,Si,101,9,Si,,Central,,madrid,Si,,,,Central,1,Porcelánico,,,,,1973,,,Ladrillo,,,,,Si,,"180,00 €",93,,Si,,,Noroeste,,,Mas de 25 Años,,,,3,2,,,265000,Si,Perfecto Estado,,
670,,165,,Si,,,,madrid,Si,,,,Gasóleo,3,Gres,,,,,1998,,,Piedra,,,,,,,,158,,,,,Sureste,,,Entre 20 y 25 Años,Si,,,3,1,,,265000,,Perfecto Estado,,
671,Si,103,6,,,,,madrid,Si,1,,,Central,,Parquet,,,,,1962,Si,,Ladrillo,,,,,Si,,,98,Si,,,,Norte,,,Más de 50 años,,,,4,1,,,265000,,Perfecto Estado,,
672,,101,,,,Gas natural,,madrid,Si,1,,,Gas Natural,1,Parquet,,,,,2006,,,Ladrillo,,,,,Si,,"90,00 €",80,,Si,,Si,,,,Entre 15 y 20 Años,,,,2,2,,,266000,,Perfecto Estado,,
673,,23,,,,Individual,,madrid,Si,,,,Eléctrica,,Gres,,,,,1860,,1,Mono Capa,,,,,Si,,"37,00 €",22,,Si,,,Oeste,,,Más de 50 años,,,,,1,,,269000,Si,Perfecto Estado,,
674,,110,,,,,,madrid,Si,,,,,,Gres,,,,,1966,,,,,,,,Si,,,,Si,,,,,,,Más de 50 años,,,,4,1,,,269000,,,,
675,,65,3,Si,,Gas natural,,madrid,Si,1,Si,,Gas Natural,1,Parquet,,,,,2005,Si,2,Ladrillo,,96,,,Si,,,54,,Si,,Si,Sureste,,,Entre 20 y 25 Años,,,,2,1,,,269000,Si,Depende del precio,,
676,,83,8,,,Individual,,madrid,Si,,,,Gas Natural,,Tarima normal,,,,,1971,,1,Ladrillo,,16,,,Si,,"80,00 €",76,Si,,,Si,Oeste,,,Más de 50 años,,,,3,1,,,269500,Si,Perfecto Estado,,
677,,86,,,,Individual,,madrid,Si,,,,Central,1,Parquet,,,,,,,,,,,,,Si,,,,,Si,,Si,,,,Más de 50 años,,,,3,1,,,269700,Si,,,
678,,45,,Si,,Individual,214 KW h/m² año,madrid,,,,,Eléctrica,,Tarima normal,,,,,1900,,2,Otros materiales,,,,,Si,,"47,00 €",40,,Si,,,,,,Más de 50 años,,,,2,1,Si,43 Kg CO2/m² año,269900,Si,Perfecto Estado,,
679,,87,5,,,Gas natural,,madrid,Si,,Si,,Gas Natural,1,Gres,Si,,,,2007,Si,4,Ladrillo,,30,,,Si,,"80,00 €",75,Si,Si,Si,,Este,,,Entre 10 y 15 Años,,,,3,2,,,269900,,Perfecto Estado,,
680,,130,,Si,,Gas natural,212 KW h/m² año,madrid,Si,2,,,Gas Natural,,Gres,,,,,1987,,,Ladrillo,,,,,Si,,,,,,,,,,,Entre 35 y 50 Años,,,,4,2,,43 Kg CO2/m² año,270000,,Perfecto Estado,,
681,,120,,Si,,Gas natural,,madrid,Si,,,,Gas Natural,1,Gres,,,,,1994,,4,Ladrillo,,,,,Si,,,90,,,,,Oeste,,,Entre 25 y 35 años,,,,4,2,,,270000,,,,
682,Si,105,4,Si,,Gas natural,30 KW h/m² año,madrid,Si,2,,,Gas Natural,2,Tarima normal,,,,,2001,Si,3,Ladrillo,Si,,,,Si,,"74,00 €",90,Si,Si,,Si,Sureste,,,Entre 15 y 20 Años,,Si,,2,2,,30 Kg CO2/m² año,270000,Si,Perfecto Estado,,
683,,90,5,Si,,,142 KW h/m² año,madrid,Si,2,,,,1,,,,,,2010,,,,,,,,Si,,,,,,,,,,,Entre 10 y 15 Años,,,,2,2,,35 Kg CO2/m² año,270000,,Perfecto Estado,,
684,,77,3,Si,,,258 KW h/m² año,madrid,Si,,,,Gas Natural,,Parquet,,,,,1994,,1,Ladrillo,,6,,,Si,,"80,00 €",63,,Si,,,,,,Entre 25 y 35 años,,,,2,1,,53 Kg CO2/m² año,272300,,Perfecto Estado,,
685,,100,,Si,,Central,,madrid,,1,,,Central,,Tarima normal,,,,,,,2,,,,,,Si,,"100,00 €",85,Si,Si,,,Suroeste,,,Entre 35 y 50 Años,,,,4,2,,,274900,,Perfecto Estado,,
686,,83,3,Si,,Gas natural,228 KW h/m² año,madrid,Si,1,,,Central,,Tarima Flotante,,,,,1974,,1,Ladrillo,,8,,,,,"50,00 €",69,Si,Si,,,Noreste,,,Entre 35 y 50 Años,,,,3,1,Si,71 Kg CO2/m² año,275000,Si,Perfecto Estado,,
687,Si,77,,Si,,,,madrid,Si,,,,Central,,,,,,,,,,,,,,,Si,,,,,,,,Noreste,,,,,,,3,1,,290 Kg CO2/m² año,275000,,,,
688,Si,140,4,Si,,Gas natural,,madrid,Si,1,Si,,Gas Natural,1,Parquet,Si,,,,1998,Si,5,Ladrillo,,4,,,Si,,"130,00 €",105,,,,,,,,Mas de 25 Años,,,,4,3,,,275000,,Perfecto Estado,,
689,Si,188,2,Si,Si,Individual,321 KW h/m² año,madrid,Si,2,Si,,Individual,2,Baldosa,,,,,1970,Si,3,Mono Capa,,,Si,,,,,144,Si,,,Si,Sureste,,,Más de 50 años,,,,6,2,,65 Kg CO2/m² año,275000,Si,A reformar,,
690,Si,105,,Si,,Central,,madrid,Si,2,,,Central,,Parquet,,,,,1977,,,,,,,,Si,,,84,,Si,,Si,,,,,,,,4,2,,,275000,,,,
691,,105,4,,,,,madrid,Si,,,,Central,,Parquet,,,,,1977,,2,Ladrillo,,8,,,Si,,,84,Si,Si,,Si,,,,Entre 35 y 50 Años,,,,4,2,,,275000,,Perfecto Estado,,
692,,108,,,,Central,,madrid,Si,2,,,Central,1,Parquet,,,,,,Si,4,,,,,,Si,,"50,00 €",98,Si,,,,Norte,,,Entre 35 y 50 Años,,,,3,2,Si,,275000,Si,Perfecto Estado,,
693,,,2,,,,,madrid,Si,,,,,,,,,,,1960,,,Ladrillo,,4,,,,,,,Si,,,,,,,Más de 50 años,,,,4,2,,,275000,Si,,,
694,,65,5,Si,,Individual,,madrid,Si,2,,,Gas Natural,1,Parquet,,,,,,,,Ladrillo,,,,,Si,,"60,00 €",62,Si,Si,,,Sur,,,Más de 50 años,,,,3,1,,,278000,Si,Perfecto Estado,,
695,Si,96,,Si,,Central,,madrid,Si,,Si,,Central,2,Tarima normal,Si,,,,2008,Si,3,Ladrillo,,,,,Si,,,77,Si,Si,,Si,Sureste,,,Entre 15 y 20 Años,,Si,,3,2,Si,,278700,Si,Perfecto Estado,,
696,,126,,,,Gas natural,,madrid,,2,Si,,Gas Natural,2,Parquet,Si,,,,2008,Si,4,Ladrillo,,,,,Si,,,112,Si,,Si,Si,Noroeste,,,Entre 5 y 10 Años,,,,2,2,,,279000,Si,Perfecto Estado,,
697,,54,,Si,,Gas natural,,madrid,Si,,,,Gas Natural,,Tarima normal,,,,,1965,,,Ladrillo,,,,,Si,,"50,00 €",,,Si,,,Sur,,,Más de 50 años,,,,2,1,,,279000,Si,Perfecto Estado,,
698,,119,,Si,,Gas natural,,madrid,Si,2,Si,Si,Gas Natural,1,Baldosa,,Si,,,1978,Si,,Cemento,,,,,Si,,,95,,,,,,,,Mas de 25 Años,,Si,,4,2,,,279000,,A reformar,,
699,,122,4,,,Gas natural,,madrid,Si,1,,,Gas Natural,1,Tarima normal,,,,,2002,,2,Ladrillo,Si,7,,,Si,,,,Si,Si,,,Sureste,,,Entre 20 y 25 Años,,,,3,2,,,279000,Si,Perfecto Estado,,
700,Si,110,,Si,,Individual,,madrid,Si,,,,Individual,2,,Si,,,,2009,Si,,Ladrillo,,,,,Si,,,94,,Si,,,Sureste,,,Entre 10 y 15 Años,,Si,,3,2,,,279000,,Perfecto Estado,,
701,,275,,Si,Si,,,madrid,Si,1,Si,,Gasóleo,,Baldosa,,,,,1975,Si,,Ladrillo,,,,,,,,239,,,,,,,,Entre 35 y 50 Años,,,,6,4,,,279000,,Perfecto Estado,,
702,,174,2,,,Gas natural,,madrid,Si,,Si,,Gas Natural,1,Tarima Flotante,,,,Si,2007,Si,3,,,,,,,,,150,,,,Si,,,,Entre 15 y 20 Años,,,,4,2,,,279900,Si,Perfecto Estado,,
703,,114,2,Si,,Gas natural,,madrid,Si,1,,,Eléctrica,1,Tarima Flotante,,,,,2003,Si,2,Ladrillo,,4,,,,,,91,,Si,,Si,Sur,,,Entre 20 y 25 Años,,,,3,3,,,279900,,Perfecto Estado,,
704,,59,,Si,,,,madrid,Si,,,,,,Tarima normal,,,,,1969,,,Ladrillo,,,,,Si,,,54,Si,Si,,,Norte,,,Entre 35 y 50 Años,,,,1,1,Si,,280000,Si,Perfecto Estado,,
705,,85,,,,,,madrid,Si,,Si,,,1,,Si,,Si,,2009,,,,Si,,,,Si,,,67,Si,Si,Si,,,,,Entre 10 y 15 Años,,,,1,2,,,280000,,Perfecto Estado,,
706,,85,,,,,,madrid,Si,,Si,,,1,,Si,,Si,,2009,,,,Si,,,,Si,,,74,Si,Si,Si,,,,,Entre 10 y 15 Años,,,,1,2,,,280000,,Perfecto Estado,,
707,,150,3,,,,,madrid,Si,2,,,Gasóleo,,Baldosa,,,,,1986,,,Ladrillo,,,,,,,,,,Si,,,,,,Entre 35 y 50 Años,,,,3,2,,,280000,,A reformar,,
708,,88,2,,,Individual,,madrid,Si,,,,Aerotermia,,Tarima Flotante,,,,Si,1966,,2,Mono Capa,,,Si,,,,,80,Si,,,,Norte,,,Más de 50 años,,,,2,1,,,280000,Si,Perfecto Estado,,
709,,72,,Si,,Individual,,madrid,Si,,,,Eléctrica,1,Porcelánico,,,,,1971,,2,Ladrillo,,,,,Si,,,62,Si,,,,Noreste,,,Más de 50 años,,Si,,2,2,Si,,280000,Si,Perfecto Estado,,
710,,99,,,Si,Individual,,madrid,Si,,,,Gasóleo,,Gres,,,,,1999,,,Ladrillo,,,,,,,,,,,,,,,,Entre 35 y 50 Años,,,,3,2,,,280000,,A reformar,,
711,,99,,,Si,Individual,,madrid,Si,1,,,Gasóleo,,Terrazo,,,,,1978,Si,,Ladrillo,,,,,,,,,,,,Si,,,,Entre 35 y 50 Años,,,,3,2,,,280000,,A reformar,,
712,Si,88,,,,Gas natural,,madrid,Si,1,,,Gas Natural,,Parquet,,,,,1974,,,Ladrillo,,,,,Si,,,77,,,,,Noreste,,,Mas de 25 Años,,,,3,2,,,280000,,A reformar,,
713,Si,87,5,Si,,Central,,madrid,Si,1,,,Central,,Parquet,,,,,1975,,2,Ladrillo,,2,,,Si,,"190,00 €",80,,,,Si,Este,,,Entre 35 y 50 Años,,,,3,1,,,283000,,,,
714,,41,4,,,,,madrid,,,,,Eléctrica,,Gres,,,,,1900,,1,Otros materiales,,2,,,,,"45,00 €",33,,Si,,Si,Norte,,,Más de 50 años,,,,1,1,,,285000,Si,Perfecto Estado,,
715,,86,,Si,,Individual,,madrid,Si,1,,,Individual,1,Parquet,,,,,1976,,,Ladrillo,,,,,Si,,,80,,,,,Oeste,,,Mas de 25 Años,,,,3,2,,,285000,,,,
716,,66,,,,Individual,,madrid,Si,1,,,Individual,1,Parquet,,,,,1972,Si,,Ladrillo,,,,,Si,,,63,,Si,,Si,Este,,,Más de 50 años,,,,3,1,,,285000,Si,Perfecto Estado,,
717,Si,95,,Si,,Central,,madrid,,,Si,,Central,1,Tarima normal,Si,,,,2012,Si,2,Ladrillo,Si,,,,Si,,"130,00 €",80,,Si,,Si,Noroeste,,,Entre 5 y 10 Años,,,,2,2,,,285000,Si,Perfecto Estado,,
718,,105,,Si,,,208 KW h/m² año,madrid,Si,,,,Gas Natural,1,Gres,,,,,,,,,,,,,Si,,,84,,,,,Suroeste,,,,,,,3,2,,44 Kg CO2/m² año,285000,,Perfecto Estado,,
719,,66,,,,Individual,,madrid,Si,,,,Individual,1,Baldosa,,,,,1959,,,Mono Capa,,,,,,,"43,00 €",62,,,,,Noroeste,,,Más de 50 años,,,,2,1,,,285000,Si,,,
720,,66,4,,,Individual,,madrid,Si,,,,Individual,,Parquet,,,,,1964,,,Ladrillo,,,,,,,"60,00 €",,Si,,,,Oeste,,,Más de 50 años,,,,2,1,,,285000,Si,Perfecto Estado,,
721,Si,106,2,Si,,Gas natural,,madrid,Si,,,,Gas Natural,1,Tarima normal,,,,,2007,,4,Piedra,,26,,,Si,,"90,00 €",95,Si,Si,,,Noreste,,,Entre 10 y 15 Años,,Si,,3,3,Si,,286500,Si,Perfecto Estado,,
722,,79,,Si,,Individual,,madrid,Si,,,,Individual,,Tarima Flotante,,,,,1977,,,,,,,,Si,,"110,00 €",68,,Si,,Si,Este,,,Entre 35 y 50 Años,,,,3,1,,,288000,Si,Perfecto Estado,,
723,Si,97,,,,Gas natural,,madrid,Si,,Si,,Individual,1,Parquet,Si,,Si,,2007,Si,2,Ladrillo,,,,,Si,,"130,00 €",75,Si,Si,Si,Si,Sur,,,Entre 5 y 10 Años,,,,2,2,,,288000,,Perfecto Estado,,
724,,54,,Si,,Gas natural,,madrid,Si,,,,Gas Natural,,Tarima normal,,,,,1965,,,Ladrillo,,,,,Si,,"50,00 €",,,,,,Noreste,,,Más de 50 años,,,,2,1,,,289000,Si,Perfecto Estado,,
725,,102,,,,Gas natural,,madrid,Si,1,,,Gas Natural,1,Tarima Flotante,,,,,1986,,,Ladrillo,,,Si,,,,,78,,Si,,,,,,Mas de 25 Años,,,,3,2,Si,,289900,Si,Perfecto Estado,,
726,Si,112,,Si,,Gas natural,,madrid,Si,1,Si,,Gas Natural,1,Parquet,,Si,,,2000,Si,4,Otros materiales,,,,,Si,,"65,00 €",90,Si,Si,,,Noreste,,Si,Entre 20 y 25 Años,,,,3,2,,,290000,Si,Perfecto Estado,,
727,,90,,Si,,Central,297 KW h/m² año,madrid,,2,,,Gas Natural,,Parquet,,,,,1966,,,,,,,,Si,,,75,,,,,,,,Más de 50 años,,,,4,1,,62 Kg CO2/m² año,290000,,Depende del precio,,
728,Si,99,6,Si,,Individual,,madrid,Si,1,,,Individual,2,Parquet,Si,,,,1974,Si,4,Ladrillo,,12,Si,,Si,,"90,00 €",90,Si,,,,Este,,,Más de 50 años,,,,3,1,Si,,293000,Si,A reformar,,
729,,35,,Si,,Individual,81 KW h/m² año,madrid,,,,,Individual,,Porcelánico,,,,,1900,,1,Ladrillo,,,,,,,"26,70 €",30,Si,,,,Suroeste,,,Más de 50 años,,,,1,1,Si,17 Kg CO2/m² año,295000,Si,Perfecto Estado,,
730,,68,,,,Gas natural,,madrid,Si,1,,,Individual,,Tarima normal,,,,,1930,,,Mono Capa,,,,,,,"30,00 €",,Si,Si,,,Norte,,,Más de 50 años,,,,2,2,,,295000,,A reformar,,
731,Si,93,8,Si,,Gas natural,346 KW h/m² año,madrid,Si,1,,,Individual,,Parquet,,,,,1973,,,Ladrillo,,45,,,Si,,,85,Si,Si,,,,,,Más de 50 años,,,5,3,1,,66 Kg CO2/m² año,295000,Si,,,
732,Si,94,8,,,Individual,,madrid,Si,,,,Eléctrica,,Tarima Flotante,,,,,1974,Si,2,Ladrillo,,,,,Si,,,85,,Si,,,Noreste,,,Entre 35 y 50 Años,,,,3,1,Si,,295000,Si,Perfecto Estado,,
733,Si,81,,Si,,Gas natural,107 KW h/m² año,madrid,,,Si,,Gas Natural,1,Parquet,Si,Si,,,2001,Si,2,Ladrillo,,,,,Si,,,71,,Si,,Si,Sureste,,Si,Entre 20 y 25 Años,,Si,,2,2,,22 Kg CO2/m² año,295000,Si,Perfecto Estado,,
734,,60,8,Si,,Individual,,madrid,Si,2,Si,,Gas Natural,1,Tarima normal,Si,,,,2007,Si,1,Otros materiales,,177,,,Si,,,,,Si,,Si,,,,Entre 15 y 20 Años,,,,1,1,,,297500,,Perfecto Estado,,
735,,376,2,,Si,Individual,,madrid,Si,,,,Gasóleo,,Baldosa,,,,,1974,,,Ladrillo,,,,,,,,250,,Si,,Si,,,,,,,,4,1,Si,,298000,Si,A reformar,,
736,Si,80,4,,,Individual,,madrid,Si,2,,,Individual,,Porcelánico,,,,,1961,,2,Ladrillo,,10,,,Si,,"100,00 €",,,Si,,,Sur,,,Más de 50 años,,,,3,1,,,298000,,A reformar,,
737,,50,,Si,,Individual,,madrid,Si,,,,Eléctrica,1,,,,,,2004,Si,1,Ladrillo,,,,,Si,,"50,00 €",40,,,,,Noreste,,,Entre 5 y 10 Años,,,,1,1,,,299000,Si,,,
738,Si,45,,Si,,Individual,,madrid,,,,,Central,,Parquet,Si,,,,1977,,,Ladrillo,,,,,Si,,,39,,,,,Este,,,Entre 35 y 50 Años,,,,1,1,,,299000,,A reformar,,
739,Si,35,7,Si,,Individual,,madrid,Si,,,,,,Baldosa,Si,,,,1934,,,,,36,,,Si,,,31,Si,Si,,,Este,,,Más de 50 años,,,,1,1,Si,,299000,Si,Perfecto Estado,,
740,,158,2,Si,,Gas natural,,madrid,Si,,,,Gas Natural,2,Parquet,,,,,1995,,5,Ladrillo,,4,,,,,"120,00 €",120,,Si,,Si,Suroeste,,,Entre 15 y 20 Años,,,,4,2,,,299900,,Perfecto Estado,,
741,Si,107,,,,Gas natural,,madrid,,,,,Individual,1,Parquet,Si,,,,1993,Si,3,,,,,,Si,,"145,00 €",86,Si,,,,,,,Mas de 25 Años,,,,3,2,,,299999,,Perfecto Estado,,
742,Si,107,,,,Gas natural,,madrid,,1,,,Individual,1,Parquet,Si,,,,1993,Si,3,,,,,,Si,,"145,00 €",85,Si,,,,,,,Mas de 25 Años,,,,3,2,,,299999,Si,Perfecto Estado,,
743,,169,,Si,,Gas natural,,madrid,Si,,,,Gas Natural,1,Baldosa,,,,,2006,,,Mono Capa,,,,,,,,,Si,,,,,,,Entre 15 y 20 Años,Si,,,5,2,,,300000,,,,
744,,130,,Si,Si,Individual,,madrid,Si,1,,,Eléctrica,1,Baldosa,,,,,1997,Si,,Cemento,,,,,,,,,,Si,,,,,,Mas de 25 Años,,,,5,2,,,305000,,,,
745,,40,,,,,,madrid,Si,,,,,,,Si,,,,,Si,,,,,,,Si,,,32,,,,,,,,Entre 35 y 50 Años,,,,1,1,,,305000,Si,,,
746,,94,,Si,,,267 KW h/m² año,madrid,Si,,,,Gas Natural,,Parquet,,,,,,,,,,,,,Si,,"60,00 €",75,,,,,Noroeste,,,,,,,3,1,,56 Kg CO2/m² año,306000,,Perfecto Estado,,
747,Si,111,3,Si,,Gas natural,,madrid,Si,,Si,,Gas Natural,1,Parquet,Si,,,,2007,Si,5,Ladrillo,,2,,,Si,,"100,00 €",90,,Si,Si,Si,Oeste,,,Entre 15 y 20 Años,,Si,,4,2,,,309900,,Perfecto Estado,,
748,,98,4,Si,,Individual,295 KW h/m² año,madrid,Si,1,,,Central,,Parquet,,,,,1973,,4,Ladrillo,,,,,,,"90,00 €",78,Si,,,Si,Norte,,,Entre 35 y 50 Años,,,,4,1,,57 Kg CO2/m² año,310000,Si,Perfecto Estado,,
749,,49,,,,Gas Butano,,madrid,,,,,,,Parquet,,,,,1950,,1,,,5,,,Si,,"50,00 €",,,,,,Oeste,,,Más de 50 años,,,,1,1,Si,,310000,Si,A reformar,,
750,Si,78,6,,,,,madrid,Si,,,,Eléctrica,1,Tarima normal,,,,,1950,,,Ladrillo,,24,,,Si,,"69,34 €",54,,,,,,,,Más de 50 años,,,,3,1,Si,,310000,Si,A reformar,,
751,,98,,,,,,madrid,Si,,,,,,,,,,,,,,,,,,,Si,,,,Si,,,,,,,,,,,3,2,,,310000,,Perfecto Estado,,
752,Si,87,,Si,,Gas natural,,madrid,Si,,,,Gas Natural,,Gres,,,,,1996,Si,,Mono Capa,,,,,Si,,"69,00 €",78,Si,Si,,,Sureste,,,Mas de 25 Años,,,,3,1,Si,,310900,Si,Perfecto Estado,,
753,,102,,,,,,madrid,Si,1,,,Gas Natural,1,Parquet,,,,,,Si,3,,,,,,Si,,,,,,,,,,,Entre 35 y 50 Años,,,,3,2,,,311000,,Perfecto Estado,,
754,,80,7,Si,,Individual,,madrid,Si,,Si,,Gas Natural,1,Tarima normal,Si,,,,2007,Si,2,Ladrillo,,,,,Si,,"180,00 €",,,Si,,Si,,,,Entre 15 y 20 Años,,,,2,2,,,312500,,Perfecto Estado,,
755,Si,100,,,,,,madrid,Si,,Si,,Gas Natural,,Tarima normal,Si,,,,,,4,,,,,,Si,,"140,00 €",,,Si,Si,Si,,,,Entre 20 y 25 Años,,,,3,2,,,315000,Si,Perfecto Estado,,
756,,111,,,,,,madrid,Si,,,,Eléctrica,,,,,,,1961,,,,,,,,,,,,,,,,,,,,,,,2,2,,,315000,,Perfecto Estado,,
757,,109,6,Si,,,,madrid,Si,1,Si,,Individual,1,Tarima Flotante,Si,,,,2011,Si,4,Ladrillo,,,,,Si,,,86,Si,,,Si,,,,Entre 10 y 15 Años,,,,3,2,Si,,315000,Si,Perfecto Estado,,
758,,106,,Si,,,176 KW h/m² año,madrid,Si,,,,Gas Natural,1,Tarima Flotante,,,,,,,,,,,,,Si,,"90,00 €",,,Si,,,Noroeste,,,,,,,3,2,,37 Kg CO2/m² año,315000,,Perfecto Estado,,
759,Si,131,6,Si,,,,madrid,Si,,,,Gas Natural,1,Gres,,,,,2002,,3,Ladrillo,,26,,,Si,,,97,Si,,,,,,,Entre 20 y 25 Años,,,,3,2,,,315000,Si,Perfecto Estado,,
760,,74,,,,Gas natural,,madrid,Si,,,,Gas Natural,,,,,,,1900,,,,,,,,,,"65,00 €",68,,,,,Este,,,Entre 25 y 35 años,,,,3,1,,,316000,,Perfecto Estado,,
